"","GeneID","pval","lfc","FDR","t_stat"
"4","ADAR",0.277879187768139,2.30769377099413,0.760825989228248,0.556143979224524
"5","AIF1",0.996647867817989,0.0461511272942708,1,0.00145825801387185
"7","ALOX5AP",0.634913194837825,-0.341250802534078,1,-0.197285647274819
"8","ANXA2",0.0980357317870753,0.84682905206132,0.711531227755043,1.00861560502575
"9","ARHGDIA",0.55569292530342,-1.14556799222687,1,-0.255165132315294
"10","ASGR1",0.427074191571693,0.0961847029850857,0.892973309649904,0.369496672536326
"13","BID",0.369184773862202,1.728866807213,0.824076772274607,0.432756218707841
"14","BLOC1S4",0.893266832275137,0.0128141467354315,1,0.049018791419578
"15","BLVRA",0.247352073516004,0.0882574724981949,0.760825989228248,0.606684444657858
"17","C5AR1",0.314233275052578,0.531074253944022,0.760825989228248,0.502747828186705
"19","CARD16",0.960426318423659,0.251116688669718,1,0.0175359475429992
"22","CCL5",0.541626195531072,0.663849272276216,1,0.266300339338645
"24","CD14",0.525980961620598,-1.35909195882249,0.997185270634104,-0.279029975262147
"33","CD68",0.152413235004914,-1.36421518572326,0.711531227755043,-0.81697731882298
"35","CD79A",0.785776648504404,-0.480807687165557,1,-0.104700881577115
"36","CD79B",0.067100759327851,0.609939768193806,0.678232665227531,1.1732725652255
"39","CFD",0.891373953524167,-0.619053811951827,1,-0.0499400604068933
"40","CFP",0.135834392132774,-3.04858571456384,0.711531227755043,-0.866990256399773
"41","CLEC10A",0.838190973812154,0.600335052096478,1,0.0766570202436211
"44","COPS6",0.291306206547319,0.219535241201329,0.760825989228248,0.535650262229397
"45","COTL1",0.803794317560539,0.340274479667553,1,0.094855068386364
"47","CST3",0.0724123252877455,-0.642020016934834,0.678232665227531,-1.14018750633213
"49","CTSB",0.746347349502091,-0.252853467661909,1,-0.127059005150113
"50","CTSS",0.172696494665694,-0.169171435777306,0.711531227755043,-0.762716477503741
"52","CXCR4",0.000529491584213907,-2.32576704370133,0.0608915321845993,-3.27614093821657
"55","DNAJB1",0.705133558883503,-0.0821561384480274,1,-0.151728615785156
