"","GeneID","pval","lfc","FDR","t_stat"
"1","ACAP1",0.836969627639155,-0.348979646493723,0.980286344700654,-0.0772903016101416
"2","ACRBP",0.00497883577917369,-0.231464426093066,0.404680333015206,-2.30287219816215
"3","ADAR",0.617336091801441,-0.459902859520909,0.932224869170603,-0.209478331793615
"4","AIF1",0.405875658332899,1.06025791044842,0.847524900647697,0.391606993936959
"5","AKR1C3",0.0598620183324351,0.164263950357271,0.68242700898976,1.22284864439757
"6","ALOX5AP",0.245435535629837,-0.984943783053893,0.833354167669376,-0.610062557295
"7","ANXA2",0.377846604855415,-0.665776204364099,0.833354167669376,-0.422684475786243
"8","ARHGDIA",0.017865903629601,1.28629926706049,0.404680333015206,1.74797501296702
"9","BANK1",0.226549587547236,0.825413539204402,0.807082905637028,0.644836724154063
"10","BID",0.38012646244568,0.338912377523054,0.833354167669376,0.420071896000413
"11","BLVRA",0.162434935712318,-0.67703777461763,0.781541925743428,-0.789320559113546
"12","C12orf75",0.191684332918705,-1.32948258512745,0.781541925743428,-0.717413382192411
"13","CA2",0.693243853618914,0.317958320557958,0.933422826526254,0.159113972238702
"14","CARD16",0.371580455683782,0.828819853614307,0.833354167669376,0.429947137013991
"15","CCL4",0.0381347713305955,0.96267418313182,0.543420491460986,1.41867885344882
"16","CCL5",0.266588255724552,-2.07757757121122,0.833354167669376,-0.574158986904033
"17","CCR7",0.133218911254828,0.652306993788339,0.724388067878799,0.875434119980709
"18","CD2",0.73580839748788,0.540287659565049,0.953206333109298,0.133235260046837
"19","CD247",0.930550455043923,0.20495037207708,0.997872455662079,0.0312600741687883
"20","CD3D",0.135558001006559,-0.570430141100586,0.724388067878799,-0.867874844070584
"21","CD3E",0.943715544464139,0.329937902523631,0.997872455662079,0.0251588913863431
"22","CD68",0.307795036337038,0.816395307210128,0.833354167669376,0.511738388106933
"23","CD7",0.550069640696933,-0.811627530886353,0.932224869170603,-0.259582323858883
"24","CD79A",0.958616562707725,-0.0745050226146189,0.997872455662079,-0.0183550716613291
"25","CD79B",0.572499982492898,0.0408985195008279,0.932224869170603,0.242224522268839
"26","CD8A",0.415574819224425,0.369882795909726,0.847524900647697,0.381350775367007
"27","CD9",0.85065481797499,0.133815265014145,0.989537237236213,0.0702466338757694
"29","CLIC3",0.825653766949714,0.337617382446397,0.980286344700654,0.0832020333413195
"30","CLU",0.424959712488504,0.0786969785009479,0.847524900647697,0.37165224047504
"31","COPS6",0.0525005345319751,-0.0311229684405902,0.641256528926267,-1.27983627482061
"32","COTL1",0.243940886283033,1.57790205820594,0.833354167669376,0.612715402642612
"33","CRBN",0.218191690896988,-0.410633217905232,0.80546340403819,-0.661161792090012
"34","CST3",0.603047508837544,0.958626037896556,0.932224869170603,0.219648472249192
"35","CST7",0.385755709042831,-1.73375774335811,0.834990205649673,-0.413687637818407
"36","CTSS",0.648642026663366,-0.116340978906889,0.932224869170603,-0.187994916044341
"37","CTSW",0.188909810044084,-0.736281946130649,0.781541925743428,-0.723745488677485
"38","CXCR4",0.685500241199317,0.0384442312602431,0.932224869170603,0.163992388064091
"39","DNAJB1",0.0700300743474263,-1.08283022839179,0.723967904564932,-1.15471541258304
"40","DNAJC2",0.318356477133398,-0.287937780349767,0.833354167669376,-0.49708630975592
"41","EIF3G",0.675542589571379,0.910957044162388,0.932224869170603,0.170347265690402
"42","EIF4A2",0.974530409915598,0.0251680507824439,0.997872455662079,0.0112046043119019
"43","EPC1",0.399039862240622,1.0186640470157,0.847524900647697,0.398983718131754
"44","FAM96A",0.576990938951345,0.369618927737746,0.932224869170603,0.238831006938428
"45","FCER1G",0.165589882588958,1.72447864921006,0.781541925743428,0.780966201790373
"46","FCGR3A",0.194258758481652,1.06360861764413,0.781541925743428,0.711619391191138
"48","FCN1",0.61158481863892,0.432189659885658,0.932224869170603,0.213543303611541
"49","FERMT3",0.606017935410855,0.470961173676028,0.932224869170603,0.217514522476123
"50","FGFBP2",0.513244639933299,0.234624370835705,0.914217014881189,0.289675577484981
"51","GIMAP1",0.725884992535072,0.707616405462979,0.953206333109298,0.139132182418276
"52","GNG11",0.20035870823825,0.098844752580957,0.781541925743428,0.698191776976577
"53","GNLY",0.964687809748895,0.304410273814671,0.997872455662079,0.0156132093913946
"54","GP9",0.368778306065563,0.171970668831655,0.833354167669376,0.433234634888283
"55","GPX1",0.825715907259435,-0.258969501675478,0.980286344700654,-0.0831693487231512
"57","GSTP1",0.0289144182497276,1.71532289072811,0.494436552070342,1.53888554115996
