"X","GeneID","pval","lfc","FDR","t_stat"
1,"ADAR",0.387691998981793,1.40336193107316,0.856394266407543,0.411513161680209
2,"AIF1",0.952944562444734,-0.163849403424296,0.998893218476297,-0.0209323637107248
3,"ALOX5AP",0.555918046900923,-0.147049928766669,0.914176343792628,-0.254989227126638
4,"ANXA2",0.15677067554936,0.870432121813251,0.580051499532631,0.80473517021106
5,"ARHGDIA",0.284039240566068,-1.97872984433739,0.754786631505267,-0.546621657192166
6,"ASGR1",0.497152872890762,0.190109136699691,0.892041997418537,0.3035100465902
7,"BID",0.571784418305879,1.30268763922423,0.922531873931406,0.242767683773376
8,"BLOC1S4",0.0323979078840228,-1.03034702460984,0.346200087306994,-1.48948303373661
9,"BLVRA",0.190342335058857,-0.0875176968596539,0.640242399743428,-0.720464607206149
10,"C5AR1",0.189715391934276,7.50170288062585e-05,0.640242399743428,0.721897432627696
11,"CARD16",0.899591143631917,0.376160822950562,0.987964298777283,0.0459548287930095
12,"CCL5",0.738166332768445,0.701558717825156,0.950343854437409,0.13184576654529
13,"CD14",0.477111805809668,-1.50279189118926,0.892041997418537,-0.321379836984234
16,"CD68",0.205895523027213,-1.82413015206269,0.677167497956168,-0.686353096537459
17,"CD79A",0.696539222601164,-0.292237719061568,0.950343854437409,-0.157054423131418
18,"CD79B",0.553930117338829,0.2615306203042,0.914176343792628,0.256545021496247
19,"CFD",0.716101257153111,-1.00562099873167,0.950343854437409,-0.145025563846297
20,"CFP",0.119409176147674,-3.25343552415042,0.547847727048601,-0.922962298020937
21,"CLEC10A",0.442179629652207,0.717504135237666,0.884359259304414,0.354401268390986
22,"COPS6",0.436266957579296,-1.0139982390497,0.884359259304414,-0.36024767879498
23,"COTL1",0.78026637300213,0.300904487437283,0.950343854437409,0.107757109391407
25,"CST3",0.0327486569074184,-0.589695144951522,0.346200087306994,-1.48480650665412
27,"CTSB",0.699277987960644,-0.0171958594417914,0.950343854437409,-0.155350142369925
28,"CTSS",0.458086158163772,-0.225961850293707,0.889295754382491,-0.339052830956758
29,"CXCR4",0.00038068689693359,-2.08783929998848,0.0281708303730857,-3.419432071143
30,"DNAJB1",0.815802916544686,-0.667843054449115,0.950343854437409,-0.0884147463871526
31,"DNAJC2",0.441537501952179,0.175926622903949,0.884359259304414,0.355032403752983
32,"EAF2",0.519777091208299,0.258678429211691,0.892041997418537,0.284182865621983
33,"EIF3G",0.765777555804013,0.424061665651334,0.950343854437409,0.115897366551023
34,"EIF4A2",0.0812942407914681,-3.41659522699814,0.414880953004734,-1.08994022047088
35,"FAM96A",0.509083442208691,0.222965518644985,0.892041997418537,0.293211028035022
36,"FCER1A",0.895024835082718,0.373265815653259,0.987964298777283,0.0481649137458314
37,"FCER1G",0.997840098783957,-0.0285160334381239,0.999972135396596,-0.000939047670149137
38,"FCGR3A",0.947130769778552,0.470270281723044,0.998893218476297,0.0235900540776296
39,"FCGRT",0.710975613397306,-0.104893049416512,0.950343854437409,-0.148145295400496
40,"FCN1",0.0242730296626631,-3.57276403925473,0.332779264105808,-1.61487601338134
41,"FERMT3",0.186078922619374,-0.629687324755843,0.640242399743428,-0.730302817135271
42,"FPR1",0.420569049200126,-1.40865821912224,0.87667914481153,-0.376162691364846
44,"GIMAP1",0.0554712575817524,0.550453232725413,0.414880953004734,1.25593198817516
45,"GPX1",0.711775264973996,-0.714499998438288,0.950343854437409,-0.147657108313002
46,"GRN",0.300821474688545,0.67845824882016,0.754786631505267,0.521691164071622
47,"GSTP1",0.50220998104912,-0.550040567898584,0.892041997418537,-0.299114660258139
49,"HCK",0.140771445432233,-1.12133098367605,0.548267734841329,-0.851485430058036
50,"HLA-DMA",0.663408895247802,0.672274487510664,0.950343854437409,0.178218709586002
51,"HLA-DMB",0.997388071818795,0.063664958205523,0.999972135396596,0.00113582999599292
52,"HLA-DPA1",0.216705289863969,-0.218358153393101,0.682391125529093,-0.664130487246441
53,"HLA-DPB1",0.608474272603705,-0.858587073491062,0.935861644418826,-0.215757779804425
54,"HLA-DQA1",0.462674142482782,1.88676156878606,0.889295754382491,0.334724771282116
55,"HLA-DQA2",0.607385267722941,0.723490034668579,0.935861644418826,0.21653574620805
56,"HLA-DQB1",0.273542162851035,-2.32317202911572,0.754786631505267,-0.562975723508727
57,"HLA-DRA",0.958397547456988,0.121769223480666,0.998893218476297,0.0184543063145923
